Variavel,Beta,SE,t_stat,p_value,Sig
Gripe_CSP,1.0024975776429492,0.04698309490002479,21.337410397849723,5.104463810202152e-101,***
Feriado,-316.0142404685476,35.58524777604117,-8.880484476528322,6.656978385821639e-19,***
Tolerancia,-583.9198023151212,68.54086060370436,-8.519294872751606,1.6052765506424898e-17,***
Ponte,458.18876214599163,57.185973667346836,8.0122577751547,1.1262150079456848e-15,***
Segunda_Comum,1378.868046883186,69.05336467965428,19.968151490950483,1.0424032053587641e-88,***
Quarta_Comum,697.3062246524928,89.89430512385638,7.756956613566835,8.699167288427859e-15,***
