Variavel,Beta,SE,p_value,Sig,N_dias,ADD_excedentarias,ADD_exc_lb,ADD_exc_ub,Custo_euros,Custo_euros_lb,Custo_euros_ub,Nota
Feriado,-316.0142404685476,35.58524777604117,6.656978385821639e-19,***,36,-11376.512656867713,-13887.40773994518,-8865.617573790249,-1706476.898530157,-2083111.160991777,-1329842.6360685374,Significativo
Tolerancia,-583.9198023151212,68.54086060370436,1.6052765506424898e-17,***,12,-7007.037627781454,-8619.11866918058,-5394.956586382328,-1051055.6441672181,-1292867.800377087,-809243.4879573493,Significativo
Ponte,458.18876214599163,57.185973667346836,1.1262150079456848e-15,***,15,6872.831432189874,5191.563806369878,8554.099058009871,1030924.7148284811,778734.5709554817,1283114.8587014808,Significativo
Segunda_Comum,1378.868046883186,69.05336467965428,1.0424032053587641e-88,***,140,193041.52656364604,174093.28329554893,211989.76983174315,28956228.984546907,26113992.49433234,31798465.47476147,Significativo
Quarta_Comum,697.3062246524928,89.89430512385638,8.699167288427859e-15,***,146,101806.70879926394,76082.55444502122,127530.86315350668,15271006.319889592,11412383.166753182,19129629.473026004,Significativo
