Cenario,custo_dia,ADD_conv,ADD_lb,ADD_ub,Custo,Custo_lb,Custo_ub
Central,150,257133.91455692254,209199.23836610807,305068.590747737,38570087.183538385,31379885.75491621,45760288.61216055
Conservador,100,257133.91455692254,209199.23836610807,305068.590747737,25713391.455692254,20919923.836610805,30506859.074773703
Máximo,200,257133.91455692254,209199.23836610807,305068.590747737,51426782.91138451,41839847.67322161,61013718.149547406
